"ISIC Rev. 4 label","Code","Section (1-digit)","Division (2-digit)","Group (3-digit)","Inclusions","Exclusions"
"Other manufacturing","32","C Manufacturing",,,"This division includes the manufacture of a variety of goods not covered in other parts of the classification. Since this is a residual division, production processes, input materials and use of the produced goods can vary widely and usual criteria for gr",
"Manufacture of jewellery, bijouterie and related articles","321","C Manufacturing","32 Other manufacturing",,"This group includes the manufacture of jewellery and imitation jewellery articles.",
"Manufacture of jewellery and related articles","3211","C Manufacturing","32 Other manufacturing","321 Manufacture of jewellery, bijouterie and related articles","This class includes:
- production of worked pearls
- production of precious and semi-precious stones in the worked state, including the working of industrial quality stones and synthetic or reconstructed precious or semi-precious stones
- working of diamo","This class excludes:
- manufacture of non-metal watch bands (fabric, leather, plastic etc.), see 1512
- manufacture of articles of base metal plated with precious metal (except imitation jewellery), see division 25
- manufacture of watchcases, see 2652
- "
"Manufacture of imitation jewellery and related articles","3212","C Manufacturing","32 Other manufacturing","321 Manufacture of jewellery, bijouterie and related articles","This class includes:
- manufacture of costume or imitation jewellery:
* rings, bracelets, necklaces, and similar articles of jewellery made from base metals plated with precious metals
* jewellery containing imitation stones such as imitation gems stones,","This class excludes:
- manufacture of jewellery made from precious metals or clad with precious metals, see 3211
- manufacture of jewellery containing genuine gem stones, see 3211
- manufacture of precious metal watch bands, see 3211"
"Manufacture of musical instruments","322","C Manufacturing","32 Other manufacturing",,"See class 3220.",
"Manufacture of musical instruments","3220","C Manufacturing","32 Other manufacturing","322 Manufacture of musical instruments","This class includes:
- manufacture of stringed instruments
- manufacture of keyboard stringed instruments, including automatic pianos
- manufacture of keyboard pipe organs, including harmoniums and similar keyboard instruments with free metal reeds
- manu","This class excludes:
- reproduction of pre-recorded sound and video tapes and discs, see 1820
- manufacture of microphones, amplifiers, loudspeakers, headphones and similar components, see 2640
- manufacture of record players, tape recorders and the like,"
"Manufacture of sports goods","323","C Manufacturing","32 Other manufacturing",,"See class 3230.",
"Manufacture of sports goods","3230","C Manufacturing","32 Other manufacturing","323 Manufacture of sports goods","This class includes the manufacture of sporting and athletic goods (except apparel and footwear).

This class includes:
- manufacture of articles and equipment for sports, outdoor and indoor games, of any material:
* hard, soft and inflatable balls
* rack","This class excludes:
- manufacture of boat sails, see 1392
- manufacture of sports apparel, see 1410
- manufacture of saddlery and harness, see 1512
- manufacture of whips and riding crops, see 1512
- manufacture of sports footwear, see 1520
- manufacture"
"Manufacture of games and toys","324","C Manufacturing","32 Other manufacturing",,"See class 3240.",
"Manufacture of games and toys","3240","C Manufacturing","32 Other manufacturing","324 Manufacture of games and toys","This class includes the manufacture of dolls, toys and games (including electronic games), scale models and children's vehicles (except metal bicycles and tricycles).

This class includes:
- manufacture of dolls and doll garments, parts and accessories
- ","This class excludes:
- manufacture of video game consoles, see 2640
- manufacture of bicycles, see 3092
- writing and publishing of software for video game consoles, see 5820, 6201"
"Manufacture of medical and dental instruments and supplies","325","C Manufacturing","32 Other manufacturing",,"See class 3250.",
"Manufacture of medical and dental instruments and supplies","3250","C Manufacturing","32 Other manufacturing","325 Manufacture of medical and dental instruments and supplies","This class includes the manufacture of laboratory apparatus, surgical and medical instruments, surgical appliances and supplies, dental equipment and supplies, orthodontic goods, dentures and orthodontic appliances. Included is the manufacture of medical,","This class excludes:
- manufacture of denture adhesives, see 2023
- manufacture of medical impregnated wadding, dressings etc., see 2100
- manufacture of electromedical and electrotherapeutic equipment, see 2660
- manufacture of wheelchairs, see 3092"
"Other manufacturing n.e.c.","329","C Manufacturing","32 Other manufacturing",,"See class 3290.",
"Other manufacturing n.e.c.","3290","C Manufacturing","32 Other manufacturing","329 Other manufacturing n.e.c.","This class includes:
- manufacture of protective safety equipment
* manufacture of fire-resistant and protective safety clothing
* manufacture of linemen's safety belts and other belts for occupational use
* manufacture of cork life preservers
* manufactu","This class excludes:
- manufacture of lighter wicks, see 1399
- manufacture of workwear and service apparel (e.g. laboratory coats, work overalls, uniforms), see 1410
- manufacture of paper novelties, see 1709
- manufacture of plastic novelties, see 2220"
"Repair and installation of machinery and equipment","33","C Manufacturing",,,"This division includes the specialized repair of goods produced in the manufacturing sector with the aim to restore machinery, equipment and other products to working order. The provision of general or routine maintenance (i.e. servicing) on such products",
